folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Adverse Events,CVD_MORT,Cardiovascular mortality status,,choices,,yes_no,,,,
Adverse Events,CVD_MORT_DATE,Date of cardiovascular mortality,,date,,,,,,
Adverse Events,DATE_HOSP_AF_CARDIAC_FAILURE,Date of hospitalization due to atrial fibrilation or cardiac failure,,date,,,,,,
Administrative,DATINTER,Date of revascularization intervention,,date,,,,,,
Sleep and Circadian Studies/Polysomnography/Administrative,DATPSG,Date of PSG recording,,date,,,,,,
Administrative,DATSCREE,Date of screening (date of Embletta polygraphy recording),,numeric,,,,,,
Administrative,DATV2_3MO,Date of Visit 2 (3 Months),,date,,,,,,
Administrative,DATV3_1YR,Date of Visit 3 (1 Year),,date,date,,,,,
Sleep and Circadian Studies/Polysomnography/Administrative,DAYS_TO_PSG,Number of days between Embletta polygraphy recording and PSG recording,,numeric,days,,,,,
Administrative,DAYS_TO_SCREENING,Days between date of revascularization intervention and date of screening,,numeric,days,,,(datscreen-datinter)/(60x60x24),,
Physiologic Measurements,DAYS_TO_V1,Days between screening date and Visit 1 (baseline),,numeric,days,,,,,
Administrative,DAYS_TO_V1ECHO,Number of days between screening and Visit 1 echocardiogram ,,numeric,days,,,,,
Physiologic Measurements,DAYS_TO_V2,Days between blood sample collection at Visit 2 and Visit 1,,numeric,days,,,V2DATBLD-V1DATBLD)/(60x60x24),,
Physiologic Measurements,DAYS_TO_V3,Days between blood sample collection at ? ?,,integer,days,,,,,
Physiologic Measurements,DAYSFROMINTERV_TO_V1,Days between revascularization intervention and Visit 1 (baseline),,numeric,days,,,,,
Physiologic Measurements/Vital Signs/Seated Blood Pressure,DBP_1YR,Diastolic blood pressure at 1-year follow-up,,numeric,millimeters of mercury (mmHg),,bp_diastolic,,,
Physiologic Measurements/Vital Signs/Seated Blood Pressure,DBP_3M,Diastolic blood pressure at 3-month follow-up,,numeric,millimeters of mercury (mmHg),,bp_diastolic,,,
Clinical Data/Vital Signs/Seated Blood Pressure,DBP1,Diastolic blood pressure at Visit 1 (baseline),,integer,millimeters of mercury (mmHg),,bp_diastolic,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Endotypes,delay,Chemoreflex delay,The latency between a drop in ventilation and a subsequent reflex rise in ventilatory drive,numeric,,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Other Indices,DeltaHeartRate,Delta Heart Rate,Change in heart rate due to respiratory events. Calculated from pulse waveform obtained via electrocardiogram.,numeric,,,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Other Indices,DeltaHeartRate_CATEGORY,Category of Delta Heart Rate,,choices,,endo_cat,,,,
Sleep and Circadian Studies/Polysomnography/Sleep Disordered Breathing/Other Indices,DeltaHeartRate_QUARTILES,Quartile of Delta Heart Rate,,choices,,quartiles,,,,
Physiologic Measurements/Cardiovascular Assessments,DeltaHRR1M,Change in heart rate recovery 1 minute post-exercise between Visit 2 and Visit 3,,numeric,beats per minute (bpm),,,,,
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,DeltaV2EA_V1EA,Change in E/A ratio between Visit 1 and Visit 2,,numeric,,,,,,
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,DeltaV2Ee_V1Ee,Change in E/e' Ratio between Visit 1 and Visit 2,,numeric,,,,,,
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,DeltaV2Em_V1Em,Change in septal e' velocity between Visit 1 and Visit 2,,numeric,,,,,,
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,DeltaV2IVS_V1IVS,Change in Interventricular Septum (IVS) between Visit 1 and Visit 2,,numeric,millimeters (mm),,,,,
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,DeltaV2LA_V1LA,Change in left atrial diameter between Visit 1 and Visit 2,,numeric,millimeters (mm),,,,,
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,DeltaV2LVDD_V1LVDD,Change in Left ventricular dimension at end-diastole (LVDD)between Visit 1 and Visit 2,,numeric,millimeters (mm),,,,,
